datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-12-16,271,86,24,332,77,67,4,0,5,23,439,113,16
2020-12-17,237,72,14,319,77,63,10,1,8,42,725,19234,12
2020-12-18,215,70,21,271,59,66,9,0,10,46,1208,4509,18
2020-12-19,166,48,13,532,316,15,4,0,1,5,90,280,0
2020-12-20,125,47,17,82,28,16,1,0,0,0,0,0,5
2020-12-21,197,67,15,219,50,38,3,2,0,0,0,0,7
2020-12-22,211,69,14,194,57,35,9,1,5,10,336,250,0
2020-12-23,174,71,15,146,39,32,3,0,3,10,265,517,3
2020-12-24,142,52,13,147,34,26,3,2,1,3,68,42,5
2020-12-25,103,41,11,74,29,17,5,1,0,0,0,0,1
2020-12-26,95,47,10,52,24,15,1,0,0,0,0,0,0
2020-12-27,117,43,18,76,20,10,2,1,0,0,0,0,0
2020-12-28,151,62,17,103,29,14,3,0,3,14,592,300,0
2020-12-29,171,70,17,181,41,38,8,0,4,7,487,424,0
2020-12-30,158,59,11,176,41,37,6,1,4,4,159,312,0
2020-12-31,132,61,17,61,30,7,2,0,0,0,0,0,0
